5961;0;
1728;0;
9029;1;
3166;1;
4733;2;
5633;2;
5208;3;
7844;4;
2547;4;
7132;6;
1388;6;
7788;8;
7735;8;
2676;9;
7081;11;
3028;12;
9312;13;
1293;14;
3491;16;
8751;17;
6740;17;
9200;19;
6661;21;
3565;23;
5875;24;
1731;26;
7066;26;
1186;27;
1331;28;
6589;28;
1415;31;
9208;32;
6490;33;
1988;34;
1687;35;
4702;37;
1409;37;
8167;38;
9595;39;
7972;40;
8058;40;
8997;41;
5308;41;
5338;43;
2881;44;
5532;44;
6504;45;
1275;48;
8146;48;
6659;50;
6559;51;
7536;55;
7282;56;
2438;60;
5518;60;
6398;62;
2130;63;
9011;64;
8098;64;
8950;66;
7022;68;
6767;68;
4009;69;
7304;70;
4832;70;
5528;72;
1964;72;
5162;73;
1019;73;
5776;74;
1998;74;
4242;76;
5047;79;
6173;79;
8888;80;
3782;82;
6326;83;
3890;84;
7676;85;
3595;85;
7177;86;
1312;87;
8330;88;
1816;88;
9666;89;
4140;89;
4332;90;
4111;91;
5368;91;
4427;92;
8838;93;
7674;93;
9516;94;
4071;94;
8557;95;
3967;96;
7677;97;
2571;97;
